LIST AS ON,10-Jan-13,,,
INDEX NAME,SCRIP CODE,NAME, FREE FLOAT FACTOR ,INDUSTRY
BSE-500,500260,MADRAS CEMNT, 0.55 ,Housing Related
BSE-500,500411,THERMAX LMTD, 0.40 ,Capital Goods
BSE-500,500620,GREAT EASTE, 0.75 ,Transport Services
BSE-500,500825,BRITANIA IN, 0.50 ,FMCG
BSE-500,523574,PANTAL RETAI, 0.55 ,Miscellaneous
BSE-500,526299,MPHASIS LTD, 0.35 ,Information Technology
BSE-500,526881,FINANC TECHN, 0.55 ,Information Technology
BSE-500,532418,ANDHRA BANK, 0.45 ,Finance
BSE-500,532873,HOUSING DEV, 0.65 ,Housing Related
BSE-500,533107,PIPAVAVDOC, 0.50 ,Capital Goods
BSE-500,533519,LNT FH, 0.20 ,Finance
BSE-500,580001,STAN CHART, 1.00 ,Finance
BSE-500,500043,BATA INDI LT, 0.50 ,FMCG
BSE-500,500049,BHARAT ELECT, 0.25 ,Capital Goods
BSE-500,500106,IFCI LTD, 0.45 ,Finance
BSE-500,500164,GODREJ INDUS, 0.25 ,Chemical & Petrochemical
BSE-500,500459,PROCTOR GAMB, 0.30 ,FMCG
BSE-500,500877,APOLLO TYRE., 0.60 ,Transport Equipments
BSE-500,506395,COROM INTER, 0.35 ,Agriculture
BSE-500,511389,VIDEOCON IND, 0.35 ,Consumer Durables
BSE-500,524804,AUROBINDO PH, 0.50 ,Healthcare
BSE-500,531162,EMAMI LIMITE, 0.30 ,FMCG
BSE-500,532498,SHRIRAM CITY, 0.45 ,Finance
BSE-500,532819,MINDTREE LTD, 0.85 ,Information Technology
BSE-500,533148,JSW ENERGY, 0.25 ,Power
BSE-500,500008,AMARA RAJA, 0.50 ,Transport Equipments
BSE-500,500034,BAJFINANCE, 0.40 ,Finance
BSE-500,500040,CENTURY TEXT, 0.60 ,Housing Related
BSE-500,500219,JAIN IRRI SY, 0.60 ,Agriculture
BSE-500,500575,VOLTAS LTD, 0.70 ,Diversified
BSE-500,511431,VAKRAN SOFTW, 0.70 ,Information Technology
BSE-500,517354,HAVELLSINDIA, 0.30 ,Capital Goods
BSE-500,532276,SYNDICATE, 0.30 ,Finance
BSE-500,532523,BIOCON LTD, 0.40 ,Healthcare
BSE-500,532702,GUJ PETRONET, 0.55 ,Oil & Gas
BSE-500,532715,GITANJALI GE, 0.45 ,Consumer Durables
BSE-500,532754,GMR INFRASTR, 0.30 ,Power
BSE-500,532800,TV18BRDCST, 0.40 ,Media & Publishing
BSE-500,533162,HATHWAY CAB, 0.55 ,Information Technology
BSE-500,533273,OBEROI REAL, 0.25 ,Housing Related
BSE-500,500084,CESC LTD, 0.50 ,Power
BSE-500,500165,KANSAI NERO, 0.35 ,Chemical & Petrochemical
BSE-500,500674,SANOFI, 0.40 ,Healthcare
BSE-500,504973,TUBE INVEST, 0.55 ,Transport Equipments
BSE-500,512199,COREEDUTEC, 0.55 ,Information Technology
