LIST AS ON,10-Jan-13,,,
INDEX NAME,SCRIP CODE,NAME, FREE FLOAT FACTOR ,INDUSTRY
BSE CONSUMER DURABLES SECTOR,500067,BLUE STAR L, 0.60 ,Consumer Durables
BSE CONSUMER DURABLES SECTOR,500238,WHIRLPOOL IN, 0.25 ,Consumer Durables
BSE CONSUMER DURABLES SECTOR,500031,BAJAJ ELECT., 0.35 ,Consumer Durables
BSE CONSUMER DURABLES SECTOR,507880,VIP INDUSTRI, 0.50 ,Consumer Durables
BSE CONSUMER DURABLES SECTOR,517385,SYMPHONY, 0.25 ,Consumer Durables
BSE FMCG SECTOR,500875,I T C LTD, 0.70 ,FMCG
BSE FMCG SECTOR,500696,HIND UNI LT, 0.50 ,FMCG
BSE FMCG SECTOR,500790,NESTLE LTD, 0.40 ,FMCG
BSE FMCG SECTOR,532432,UNITD SPR, 0.70 ,FMCG
BSE FMCG SECTOR,500830,COLGATE PALM, 0.50 ,FMCG
BSE FMCG SECTOR,532424,GODREJ CONS, 0.35 ,FMCG
BSE FMCG SECTOR,500096,DABUR INDIA, 0.35 ,FMCG
BSE FMCG SECTOR,532478,UNITED BREW, 0.30 ,FMCG
BSE FMCG SECTOR,500800,TATAGLOBAL, 0.65 ,FMCG
BSE FMCG SECTOR,533155,JUBL FOOD, 0.45 ,FMCG
BSE HEALTHCARE SECTOR,524715,SUN PHARMACE, 0.40 ,Healthcare
BSE HEALTHCARE SECTOR,500124,DR.REDDY'S L, 0.75 ,Healthcare
BSE HEALTHCARE SECTOR,500087,CIPLA LTD., 0.65 ,Healthcare
BSE HEALTHCARE SECTOR,500257,LUPIN LTD, 0.55 ,Healthcare
BSE HEALTHCARE SECTOR,500660,GLAXOSMITH, 0.50 ,Healthcare
BSE HEALTHCARE SECTOR,500359,RANBAXY LABO, 0.40 ,Healthcare
BSE HEALTHCARE SECTOR,532296,GLENMARK PHA, 0.55 ,Healthcare
BSE HEALTHCARE SECTOR,532488,Divi's Lab, 0.50 ,Healthcare
BSE HEALTHCARE SECTOR,508869,APOLLO HOS E, 0.55 ,Healthcare
BSE HEALTHCARE SECTOR,532300,WOCKHARDT LT, 0.30 ,Healthcare
BSE HEALTHCARE SECTOR,532321,CADILA HEALT, 0.30 ,Healthcare
BSE HEALTHCARE SECTOR,500302,PEL, 0.50 ,Healthcare
BSE HEALTHCARE SECTOR,532531,STRIDES ARCO, 0.75 ,Healthcare
BSE HEALTHCARE SECTOR,524494,IPCA LAB LTD, 0.55 ,Healthcare
BSE HEALTHCARE SECTOR,524804,AUROBINDO PH, 0.50 ,Healthcare
BSE HEALTHCARE SECTOR,532523,BIOCON LTD, 0.40 ,Healthcare
BSE HEALTHCARE SECTOR,532391,OPTO CIRCUIT, 0.75 ,Healthcare
BSE IT SECTOR,500209,INFOSYS LTD, 0.85 ,Information Technology
BSE IT SECTOR,532540,TCS LTD., 0.30 ,Information Technology
BSE IT SECTOR,507685,WIPRO LTD., 0.25 ,Information Technology
BSE IT SECTOR,532281,HCL TECHNO, 0.40 ,Information Technology
BSE IT SECTOR,500376,SATYAM COMP, 0.60 ,Information Technology
BSE IT SECTOR,532755,TECH MAH, 0.45 ,Information Technology
BSE IT SECTOR,532466,ORACLE FIN, 0.20 ,Information Technology
BSE IT SECTOR,526299,MPHASIS LTD, 0.35 ,Information Technology
BSE IT SECTOR,526881,FINANC TECHN, 0.55 ,Information Technology
BSE IT SECTOR,532129,HEXAWARE LTD, 0.75 ,Information Technology
BSE METAL SECTOR,500470,TATA STL, 0.70 ,"Metal,Metal Products & Mining"
BSE METAL SECTOR,533278,COAL INDIA, 0.10 ,"Metal,Metal Products & Mining"
BSE METAL SECTOR,532286,JINDAL STEEL, 0.45 ,"Metal,Metal Products & Mining"
BSE METAL SECTOR,500900,STERLITE IN, 0.45 ,"Metal,Metal Products & Mining"
BSE METAL SECTOR,500440,HINDALCO IN, 0.70 ,"Metal,Metal Products & Mining"
BSE METAL SECTOR,526371,NMDC LTD, 0.20 ,"Metal,Metal Products & Mining"
BSE METAL SECTOR,500228,JSW SL, 0.50 ,"Metal,Metal Products & Mining"
BSE METAL SECTOR,500295,SESA GOA LTD, 0.45 ,"Metal,Metal Products & Mining"
BSE METAL SECTOR,500113,STEEL AUTHOR, 0.15 ,"Metal,Metal Products & Mining"
BSE METAL SECTOR,500188,HIND.ZINC, 0.10 ,"Metal,Metal Products & Mining"
BSE METAL SECTOR,500055,BHUSH STEEL, 0.35 ,"Metal,Metal Products & Mining"
BSE OIL & GAS SECTOR,500325,RELIANCE, 0.55 ,Oil & Gas
BSE OIL & GAS SECTOR,500312,ONG CORP LTD, 0.25 ,Oil & Gas
BSE OIL & GAS SECTOR,532792,CAIRN IND, 0.35 ,Oil & Gas
BSE OIL & GAS SECTOR,532155,GAIL INDIA, 0.40 ,Oil & Gas
BSE OIL & GAS SECTOR,500547,BHARAT PETRO, 0.40 ,Oil & Gas
BSE OIL & GAS SECTOR,530965,INDIAN OIL C, 0.10 ,Oil & Gas
BSE OIL & GAS SECTOR,500104,HINDUSTAN PE, 0.50 ,Oil & Gas
BSE OIL & GAS SECTOR,532522,PETRONET LNG, 0.40 ,Oil & Gas
BSE OIL & GAS SECTOR,500870,CASTROL INDI, 0.30 ,Oil & Gas
BSE OIL & GAS SECTOR,533106,OIL INDIA, 0.15 ,Oil & Gas
BSE AUTO SECTOR,500570,TATA MOTORS, 0.70 ,Transport Equipments
BSE AUTO SECTOR,500520,MAHINDRA & M, 0.75 ,Transport Equipments
BSE AUTO SECTOR,532977,BAJAJ AUTO, 0.50 ,Transport Equipments
BSE AUTO SECTOR,532500,MARUTISUZUK, 0.50 ,Transport Equipments
BSE AUTO SECTOR,500182,HEROMOTOCO, 0.50 ,Transport Equipments
BSE AUTO SECTOR,500530,BOSCH LTD, 0.30 ,Transport Equipments
BSE AUTO SECTOR,500480,CUMMINS INDI, 0.50 ,Transport Equipments
BSE AUTO SECTOR,500086,EXIDE INDUS, 0.55 ,Transport Equipments
BSE AUTO SECTOR,500477,ASHOK LEYLND, 0.50 ,Transport Equipments
BSE AUTO SECTOR,500493,BHARAT FORGE, 0.60 ,Transport Equipments
BSE-PSU,500312,ONG CORP LTD, 1.00 ,Oil & Gas
BSE-PSU,533278,COAL INDIA, 1.00 ,"Metal,Metal Products & Mining"
BSE-PSU,500112,STATE BANK O, 1.00 ,Finance
BSE-PSU,532555,NTPC LTD, 1.00 ,Power
BSE-PSU,530965,INDIAN OIL C, 1.00 ,Oil & Gas
BSE-PSU,526371,NMDC LTD, 1.00 ,"Metal,Metal Products & Mining"
BSE-PSU,513377,M M T C LTD., 1.00 ,Miscellaneous
BSE-PSU,500103,BHEL, 1.00 ,Capital Goods
BSE-PSU,532898,POWER GRID, 1.00 ,Power
BSE-PSU,532155,GAIL INDIA, 1.00 ,Oil & Gas
BSE-PSU,500113,STEEL AUTHOR, 1.00 ,"Metal,Metal Products & Mining"
BSE-PSU,532134,BANK OF BARO, 1.00 ,Finance
BSE-PSU,533098,NHPC, 1.00 ,Power
BSE-PSU,532461,PUNJAB NATBK, 1.00 ,Finance
BSE-PSU,533106,OIL INDIA, 1.00 ,Oil & Gas
BSE-PSU,500547,BHARAT PETRO, 1.00 ,Oil & Gas
BSE-PSU,532810,POWER FINAN, 1.00 ,Finance
BSE-PSU,532955,RECLTD, 1.00 ,Finance
BSE-PSU,532483,CANARA BANK, 1.00 ,Finance
BSE-PSU,532149,BANK OF INDI, 1.00 ,Finance
BSE-PSU,500116,IDBI BANK L, 1.00 ,Finance
BSE-PSU,532477,UNION BANK, 1.00 ,Finance
BSE-PSU,513683,NEYVELI LIG., 1.00 ,Power
BSE-PSU,513599,HIND.COPPER, 1.00 ,"Metal,Metal Products & Mining"
BSE-PSU,532234,NAT ALUM CO, 1.00 ,"Metal,Metal Products & Mining"
BSE-PSU,531344,CONTAIN CORP, 1.00 ,Transport Services
BSE-PSU,500109,MANGALORE RE, 1.00 ,Oil & Gas
BSE-PSU,500104,HINDUSTAN PE, 1.00 ,Oil & Gas
BSE-PSU,500049,BHARAT ELECT, 1.00 ,Capital Goods
BSE-PSU,500315,ORIENTAL BK, 1.00 ,Finance
BSE-PSU,532814,INDIAN BANK, 1.00 ,Finance
BSE-PSU,532480,ALLAHABAD BK, 1.00 ,Finance
BSE-PSU,533206,SJVN, 1.00 ,Power
BSE-PSU,532276,SYNDICATE, 1.00 ,Finance
BSE-PSU,532178,ENGINER IN, 1.00 ,Miscellaneous
BSE-PSU,532388,INDIAN OVERS, 1.00 ,Finance
BSE-PSU,532179,CORPORATION, 1.00 ,Finance
BSE-PSU,532418,ANDHRA BANK, 1.00 ,Finance
BSE-PSU,532885,CENTRAL BK, 1.00 ,Finance
BSE-PSU,532181,GUJ MIN DEVL, 1.00 ,"Metal,Metal Products & Mining"
BSE-PSU,532209,J&K BANK, 1.00 ,Finance
BSE-PSU,532505,UCO BANK, 1.00 ,Finance
BSE-PSU,533286,MOIL LTD, 1.00 ,"Metal,Metal Products & Mining"
BSE-PSU,532121,DENA BANK, 1.00 ,Finance
BSE-PSU,523630,NATIONAL FER, 1.00 ,Agriculture
BSE-PSU,532525,BANK MAHA, 1.00 ,Finance
BSE-PSU,501061,S BK BIKANER, 1.00 ,Finance
BSE-PSU,500191,HMT LTD, 1.00 ,Capital Goods
BSE-PSU,532200,STATE BK MYS, 1.00 ,Finance
BSE-PSU,532401,VIJAYA BANK, 1.00 ,Finance
BSE-PSU,524230,RASHTRIYA CH, 1.00 ,Agriculture
BSE-PSU,532191,ST BK TRAVAN, 1.00 ,Finance
BSE-PSU,533171,UNITED BANK, 1.00 ,Finance
BSE-PSU,523598,SHIPPING COR, 1.00 ,Transport Services
BSE-PSU,500110,CHENNAI PETR, 1.00 ,Oil & Gas
BSE-PSU,533295,PUNJABNSIND, 1.00 ,Finance
BSE-PSU,500108,MAHANAG TELE, 1.00 ,Telecom
BSE-PSU,512531,ST TRAD CORP, 1.00 ,Miscellaneous
BSE-PSU,500048,BEML LTD, 1.00 ,Capital Goods
BSE-PSU,523319,BALMER LAWRI, 1.00 ,Miscellaneous
BSE-TECK,500209,INFOSYS LTD, 0.85 ,Information Technology
BSE-TECK,532540,TCS LTD., 0.30 ,Information Technology
BSE-TECK,532454,BHARTI ARTL, 0.35 ,Telecom
BSE-TECK,507685,WIPRO LTD., 0.25 ,Information Technology
BSE-TECK,532281,HCL TECHNO, 0.40 ,Information Technology
BSE-TECK,505537,ZEE ENTER, 0.60 ,Media & Publishing
BSE-TECK,532822,IDEA CELL, 0.25 ,Telecom
BSE-TECK,500376,SATYAM COMP, 0.60 ,Information Technology
BSE-TECK,532712,REL COM LTD, 0.35 ,Telecom
BSE-TECK,532755,TECH MAH, 0.45 ,Information Technology
BSE-TECK,532466,ORACLE FIN, 0.20 ,Information Technology
BSE-TECK,532733,SUN TVNET, 0.20 ,Media & Publishing
BSE-TECK,532839,DISH TV, 0.40 ,Media & Publishing
BSE-TECK,526299,MPHASIS LTD, 0.35 ,Information Technology
BSE-TECK,526881,FINANC TECHN, 0.55 ,Information Technology
BSE-TECK,532800,TV18BRDCST, 0.40 ,Media & Publishing
BSE-TECK,532129,HEXAWARE LTD, 0.75 ,Information Technology
BSE-TECK,500483,TATA COMM, 0.25 ,Telecom
BSE-TECK,532705,JAGRAN PRAK, 0.45 ,Media & Publishing
BSE-TECK,533137,DEN NETWORK, 0.45 ,Media & Publishing
BSE-TECK,533151,D B CORP, 0.25 ,Media & Publishing
BSE-TECK,500108,MAHANAG TELE, 0.45 ,Telecom
BSE-TECK,532662,HT MEDIA, 0.30 ,Media & Publishing
BSE-TECK,508989,NAVNEET PUBL, 0.40 ,Media & Publishing
BSE-TECK,500183,HIM FUTR COM, 0.45 ,Telecom
BSE-TECK,532371,TATA TELESRV, 0.25 ,Telecom
BSE-TECK,533261,EROS MEDIA, 0.25 ,Media & Publishing
BSE-TECK,532944,ONMOBILE, 0.65 ,Telecom
BSE-TECK,532775,GTL INFRAST, 0.35 ,Telecom
BSE-TECK,532691,TULIP TELE, 0.35 ,Telecom
DOLLEX-30,500010,HOUSING DEVE, 1.00 ,Finance
DOLLEX-200,500010,HOUSING DEVE, 1.00 ,Finance
BANKEX,532174,ICICI BANK L, 1.00 ,Finance
BANKEX,500180,HDFC BANK LT, 0.80 ,Finance
BANKEX,500112,STATE BANK O, 0.40 ,Finance
BANKEX,532215,AXIS BANK, 0.65 ,Finance
BANKEX,500247,KOTAK BANK, 0.55 ,Finance
BANKEX,532187,INDUS IND BK, 0.80 ,Finance
BANKEX,532134,BANK OF BARO, 0.45 ,Finance
BANKEX,532648,YES BANK, 0.75 ,Finance
BANKEX,532461,PUNJAB NATBK, 0.40 ,Finance
BANKEX,500469,FEDERAL BANK, 1.00 ,Finance
BANKEX,532483,CANARA BANK, 0.35 ,Finance
BANKEX,532149,BANK OF INDI, 0.35 ,Finance
BANKEX,532477,UNION BANK, 0.45 ,Finance
BANKEX,500116,IDBI BANK L, 0.30 ,Finance
BSE Mid-Cap,500469,FEDERAL BANK, 1.00 ,Finance
BSE Mid-Cap,532296,GLENMARK PHA, 0.55 ,Healthcare
BSE Mid-Cap,500490,BAJ HOLD INV, 0.60 ,Finance
BSE Mid-Cap,500770,TATA CHEMICA, 0.70 ,Chemical & Petrochemical
BSE Mid-Cap,500800,TATAGLOBAL, 0.65 ,FMCG
BSE Mid-Cap,508869,APOLLO HOS E, 0.55 ,Healthcare
BSE Mid-Cap,532720,M&M FINANSER, 0.45 ,Finance
BSE Mid-Cap,507878,UNITECH LTD, 0.55 ,Housing Related
BSE Mid-Cap,532544,INDIABULLS, 0.55 ,Finance
BSE Mid-Cap,531807,ING VYSYA BK, 0.60 ,Finance
BSE Mid-Cap,512070,UNITED PHOSP, 0.75 ,Agriculture
BSE Mid-Cap,532531,STRIDES ARCO, 0.75 ,Healthcare
BSE Mid-Cap,500093,CROMPTON GRE, 0.60 ,Capital Goods
BSE Mid-Cap,500271,MAX INDIA L., 0.65 ,Diversified
BSE Mid-Cap,500315,ORIENTAL BK, 0.45 ,Finance
BSE Mid-Cap,517334,MOTH SUMI SY, 0.35 ,Transport Equipments
BSE Mid-Cap,532218,SOUTH INDIA, 1.00 ,Finance
BSE Mid-Cap,533155,JUBL FOOD, 0.45 ,FMCG
BSE Mid-Cap,500092,CRISIL LTD, 0.50 ,Finance
BSE Mid-Cap,500477,ASHOK LEYLND, 0.50 ,Transport Equipments
BSE Mid-Cap,500493,BHARAT FORGE, 0.60 ,Transport Equipments
BSE Mid-Cap,532480,ALLAHABAD BK, 0.40 ,Finance
BSE Mid-Cap,500290,M.R.F LTD, 0.60 ,Transport Equipments
BSE Mid-Cap,500331,PIDILITE IND, 0.30 ,Chemical & Petrochemical
BSE Mid-Cap,524494,IPCA LAB LTD, 0.55 ,Healthcare
BSE Mid-Cap,500850,INDIAN HOTEL, 0.65 ,Tourism
BSE Mid-Cap,500055,BHUSH STEEL, 0.35 ,"Metal,Metal Products & Mining"
BSE Mid-Cap,532839,DISH TV, 0.40 ,Media & Publishing
BSE Mid-Cap,532209,J&K BANK, 0.50 ,Finance
BSE Mid-Cap,505200,EICHER MOTOR, 0.40 ,Transport Equipments
BSE Mid-Cap,532652,KARNATAKA BK, 1.00 ,Finance
BSE Mid-Cap,532418,ANDHRA BANK, 0.45 ,Finance
BSE Mid-Cap,532873,HOUSING DEV, 0.65 ,Housing Related
BSE Mid-Cap,533107,PIPAVAVDOC, 0.50 ,Capital Goods
BSE Mid-Cap,523574,PANTAL RETAI, 0.55 ,Miscellaneous
BSE Mid-Cap,500251,TRENT, 0.70 ,Miscellaneous
BSE Mid-Cap,500260,MADRAS CEMNT, 0.55 ,Housing Related
BSE Mid-Cap,500620,GREAT EASTE, 0.75 ,Transport Services
BSE Mid-Cap,500825,BRITANIA IN, 0.50 ,FMCG
BSE Mid-Cap,500411,THERMAX LMTD, 0.40 ,Capital Goods
BSE Mid-Cap,526881,FINANC TECHN, 0.55 ,Information Technology
BSE Mid-Cap,580001,STAN CHART, 1.00 ,Finance
BSE Mid-Cap,511389,VIDEOCON IND, 0.35 ,Consumer Durables
BSE Mid-Cap,500043,BATA INDI LT, 0.50 ,FMCG
BSE Mid-Cap,500106,IFCI LTD, 0.45 ,Finance
BSE Mid-Cap,500164,GODREJ INDUS, 0.25 ,Chemical & Petrochemical
BSE Mid-Cap,524804,AUROBINDO PH, 0.50 ,Healthcare
BSE Mid-Cap,500877,APOLLO TYRE., 0.60 ,Transport Equipments
BSE Mid-Cap,531162,EMAMI LIMITE, 0.30 ,FMCG
BSE Mid-Cap,506395,COROM INTER, 0.35 ,Agriculture
BSE Mid-Cap,532498,SHRIRAM CITY, 0.45 ,Finance
BSE Mid-Cap,532819,MINDTREE LTD, 0.85 ,Information Technology
BSE Mid-Cap,500459,PROCTOR GAMB, 0.30 ,FMCG
BSE Mid-Cap,517354,HAVELLSINDIA, 0.30 ,Capital Goods
BSE Mid-Cap,532276,SYNDICATE, 0.30 ,Finance
BSE Mid-Cap,500008,AMARA RAJA, 0.50 ,Transport Equipments
BSE Mid-Cap,500575,VOLTAS LTD, 0.70 ,Diversified
BSE Mid-Cap,532715,GITANJALI GE, 0.45 ,Consumer Durables
BSE Mid-Cap,532800,TV18BRDCST, 0.40 ,Media & Publishing
BSE Mid-Cap,500034,BAJFINANCE, 0.40 ,Finance
BSE Mid-Cap,511431,VAKRAN SOFTW, 0.70 ,Information Technology
BSE Mid-Cap,532702,GUJ PETRONET, 0.55 ,Oil & Gas
BSE Mid-Cap,500040,CENTURY TEXT, 0.60 ,Housing Related
BSE Mid-Cap,532523,BIOCON LTD, 0.40 ,Healthcare
BSE Mid-Cap,500219,JAIN IRRI SY, 0.60 ,Agriculture
BSE Mid-Cap,533162,HATHWAY CAB, 0.55 ,Information Technology
BSE Mid-Cap,532210,CITY UNION B, 0.85 ,Finance
BSE Mid-Cap,500674,SANOFI, 0.40 ,Healthcare
BSE Mid-Cap,531213,MANAP FIN, 0.60 ,Finance
BSE Mid-Cap,532388,INDIAN OVERS, 0.30 ,Finance
BSE Mid-Cap,532654,MCLEOD RUSSE, 0.55 ,FMCG
BSE Mid-Cap,500165,KANSAI NERO, 0.35 ,Chemical & Petrochemical
BSE Mid-Cap,504973,TUBE INVEST, 0.55 ,Transport Equipments
BSE Mid-Cap,532805,REDINGTON, 0.60 ,Information Technology
BSE Mid-Cap,512199,COREEDUTEC, 0.55 ,Information Technology
BSE Mid-Cap,517326,CMC LTD, 0.50 ,Information Technology
BSE Mid-Cap,532798,NTWK MED INV, 0.45 ,Finance
BSE Mid-Cap,530005,INDIA CEMENT, 0.75 ,Housing Related
BSE Mid-Cap,532129,HEXAWARE LTD, 0.75 ,Information Technology
BSE Mid-Cap,532181,GUJ MIN DEVL, 0.30 ,"Metal,Metal Products & Mining"
BSE Mid-Cap,532391,OPTO CIRCUIT, 0.75 ,Healthcare
BSE Mid-Cap,500084,CESC LTD, 0.50 ,Power
BSE Mid-Cap,500420,TORRENT PHAR, 0.30 ,Healthcare
BSE Mid-Cap,509930,SUPREM IND, 0.50 ,Chemical & Petrochemical
BSE Mid-Cap,531500,RAJESH EXPOT, 0.50 ,Consumer Durables
BSE Mid-Cap,532505,UCO BANK, 0.35 ,Finance
BSE Mid-Cap,532524,PTC INDIA, 0.85 ,Power
BSE Mid-Cap,500125,EID PARRY, 0.55 ,Agriculture
BSE Mid-Cap,511288,GRUH FINANC, 0.45 ,Finance
BSE Mid-Cap,532777,INFO EDGE, 0.50 ,Miscellaneous
BSE Mid-Cap,500252,LAKSHMI MA W, 0.65 ,Capital Goods
BSE Mid-Cap,532636,IND INFOLINE, 0.70 ,Finance
BSE Mid-Cap,530019,JUBILANT, 0.50 ,Healthcare
BSE Mid-Cap,532514,INDRA GAS, 0.50 ,Oil & Gas
BSE Mid-Cap,532667,SUZLONENERGY, 0.50 ,Capital Goods
BSE Mid-Cap,532827,PAGE INDUSTR, 0.45 ,Textile
BSE Mid-Cap,500483,TATA COMM, 0.25 ,Telecom
BSE Mid-Cap,532121,DENA BANK, 0.40 ,Finance
BSE Mid-Cap,532947,IRB INFRA, 0.40 ,Housing Related
BSE Mid-Cap,500690,GUJARAT STAT, 0.60 ,Agriculture
BSE Mid-Cap,513375,CARBO UNIVER, 0.60 ,Capital Goods
BSE Mid-Cap,532832,INDBUL REAL, 0.50 ,Housing Related
BSE Mid-Cap,500101,ARVIND Ltd, 0.60 ,Textile
BSE Mid-Cap,500330,RAYMOND LTD, 0.60 ,Textile
BSE Mid-Cap,500472,SKF INDIA, 0.50 ,Capital Goods
BSE Mid-Cap,532922,EDELWEISS, 0.60 ,Finance
BSE Mid-Cap,533398,MUTHOOT FIN, 0.20 ,Finance
BSE Mid-Cap,532144,WELCORP, 0.65 ,Capital Goods
BSE Mid-Cap,532705,JAGRAN PRAK, 0.45 ,Media & Publishing
BSE Mid-Cap,500378,JINDAL SAW, 0.45 ,Capital Goods
BSE Mid-Cap,532784,SOBHA DEV, 0.40 ,Housing Related
BSE Mid-Cap,533207,JPINFRATEC, 0.20 ,Housing Related
BSE Mid-Cap,500355,RALLI INDIA, 0.50 ,Agriculture
BSE Mid-Cap,533150,GODREJ PROP, 0.30 ,Housing Related
BSE Mid-Cap,533160,D B REALTY, 0.40 ,Housing Related
BSE Mid-Cap,500134,ESSAR OIL LT, 0.15 ,Oil & Gas
BSE Mid-Cap,502355,BALKRISH IND, 0.50 ,Transport Equipments
BSE Mid-Cap,506285,BAYER CROP, 0.30 ,Agriculture
BSE Mid-Cap,532400,KPIT CUMMIN, 0.65 ,Information Technology
BSE Mid-Cap,532401,VIJAYA BANK, 0.45 ,Finance
BSE Mid-Cap,534091,MCX LTD, 0.20 ,Finance
BSE Mid-Cap,500840,EIH LIMITED, 0.35 ,Tourism
BSE Mid-Cap,502742,SINTEX INDUS, 0.65 ,Housing Related
BSE Mid-Cap,505790,FAG BEARING, 0.50 ,Capital Goods
BSE Mid-Cap,523477,GUJARAT GAS, 0.35 ,Oil & Gas
BSE Mid-Cap,532179,CORPORATION, 0.20 ,Finance
BSE Mid-Cap,533122,INDIAB POWER, 0.40 ,Power
BSE Mid-Cap,533248,GPPL, 0.60 ,Transport Services
BSE Mid-Cap,500020,BOMBAY DYEI, 0.50 ,Textile
BSE Mid-Cap,522275,ALSTOMT&D, 0.30 ,Capital Goods
BSE Mid-Cap,532885,CENTRAL BK, 0.20 ,Finance
BSE Mid-Cap,500085,CHAMBAL FERT, 0.45 ,Agriculture
BSE Mid-Cap,509051,IND INFO&SOF, 0.60 ,Information Technology
BSE Mid-Cap,509480,BERGE PAINT*, 0.25 ,Chemical & Petrochemical
BSE Mid-Cap,532683,AIAENGINEER, 0.40 ,Capital Goods
BSE Mid-Cap,533177,IL&FS TRANS, 0.30 ,Capital Goods
BSE Mid-Cap,503100,PHOENIX MILL, 0.35 ,Housing Related
BSE Mid-Cap,507815,GILLETTE IND, 0.15 ,FMCG
BSE Mid-Cap,511072,DEWAN HOU FI, 0.50 ,Finance
BSE Mid-Cap,520077,AMTEK AUTO L, 0.65 ,Transport Equipments
BSE Mid-Cap,532638,SHOPPER STOP, 0.35 ,Miscellaneous
BSE Mid-Cap,532693,PUNJ LLOYD, 0.65 ,Capital Goods
BSE Mid-Cap,533137,DEN NETWORK, 0.45 ,Media & Publishing
BSE Mid-Cap,517506,TTK PRESTIG, 0.30 ,Consumer Durables
BSE Mid-Cap,532670,RENUKA SUGAR, 0.60 ,Agriculture
BSE Mid-Cap,533179,PERSISTENT, 0.55 ,Information Technology
BSE Mid-Cap,500285,SPICEJET LTD, 0.55 ,Transport Services
BSE Mid-Cap,509966,VST INDUSTRI, 0.40 ,FMCG
BSE Mid-Cap,523395,3M INDIA LTD, 0.25 ,Diversified
BSE Mid-Cap,532301,TATA COFFEE, 0.40 ,FMCG
BSE Mid-Cap,532368,YBRANTDIGI, 0.40 ,Information Technology
BSE Mid-Cap,532497,RADICO KHAIT, 0.60 ,FMCG
BSE Mid-Cap,532541,NIIT TECHNO, 0.70 ,Information Technology
BSE Mid-Cap,532915,RELIGARE ENT, 0.25 ,Finance
BSE Mid-Cap,500173,GUJARAT FLUO, 0.30 ,Oil & Gas
BSE Mid-Cap,500710,AKZOINDIA, 0.25 ,Chemical & Petrochemical
BSE Mid-Cap,511243,CHOLAFIN, 0.30 ,Finance
BSE Mid-Cap,532175,INFOTECH ENR, 0.55 ,Information Technology
BSE Mid-Cap,532282,AMTEK INDI L, 0.40 ,Transport Equipments
BSE Mid-Cap,532710,SADBHAV ENGG, 0.55 ,Capital Goods
BSE Mid-Cap,533274,PRESTIGE, 0.20 ,Housing Related
BSE Mid-Cap,500163,GODFREY PHIP, 0.30 ,FMCG
BSE Mid-Cap,500368,RUCHI SOYA., 0.45 ,FMCG
BSE Mid-Cap,515055,ANANTRAJ, 0.40 ,Housing Related
BSE Mid-Cap,523598,SHIPPING COR, 0.40 ,Transport Services
BSE Mid-Cap,532708,GVK POWERINF, 0.45 ,Power
BSE Mid-Cap,532927,ECLERX, 0.50 ,Information Technology
BSE Mid-Cap,533151,D B CORP, 0.25 ,Media & Publishing
BSE Mid-Cap,500680,PFIZER LTD., 0.30 ,Healthcare
BSE Mid-Cap,501455,GREAVES COTT, 0.50 ,Capital Goods
BSE Mid-Cap,506690,UNICHEM LAB, 0.55 ,Healthcare
BSE Mid-Cap,532309,AIL, 0.35 ,Capital Goods
BSE Mid-Cap,532343,TVS MOTOR L, 0.45 ,Transport Equipments
BSE Mid-Cap,532617,JET AIRWAYS, 0.20 ,Transport Services
BSE Mid-Cap,532778,LANCO INFRA, 0.30 ,Power
BSE Mid-Cap,532848,DELTA CORP, 0.60 ,Miscellaneous
BSE Mid-Cap,533293,KIRLOIL ENG, 0.35 ,Transport Equipments
BSE Mid-Cap,513023,NAV BHAR VEN, 0.60 ,Power
BSE Mid-Cap,530323,ERA INFRA, 0.40 ,Housing Related
BSE Mid-Cap,500042,BASF INDIA, 0.30 ,Chemical & Petrochemical
BSE Mid-Cap,500067,BLUE STAR L, 0.60 ,Consumer Durables
BSE Mid-Cap,500335,BIRLA CORPOR, 0.40 ,Housing Related
BSE Mid-Cap,500488,ABBOTT INDIA, 0.30 ,Healthcare
BSE Mid-Cap,503031,PENLAND LTD, 0.45 ,Housing Related
BSE Mid-Cap,512179,SUNTECK REAL, 0.30 ,Housing Related
BSE Mid-Cap,513446,MONNETISPA, 0.55 ,"Metal,Metal Products & Mining"
BSE Mid-Cap,526612,BLUE DART EX, 0.20 ,Miscellaneous
BSE Mid-Cap,532872,SUNPHA ADV, 0.30 ,Healthcare
BSE Mid-Cap,534804,CARE RATING, 0.35 ,Finance
BSE Mid-Cap,500095,WYETH LTD, 0.45 ,Healthcare
BSE Mid-Cap,500238,WHIRLPOOL IN, 0.25 ,Consumer Durables
BSE Mid-Cap,532622,GATEWAY DIST, 0.60 ,Transport Services
BSE Mid-Cap,532843,FORTIS, 0.20 ,Healthcare
BSE Mid-Cap,532926,JYOTHY LAB, 0.35 ,FMCG
BSE Mid-Cap,533286,MOIL LTD, 0.20 ,"Metal,Metal Products & Mining"
BSE Mid-Cap,500265,MAHARASH SEA, 0.45 ,"Metal,Metal Products & Mining"
BSE Mid-Cap,531411,TUNI TEXTILE, 0.80 ,Textile
BSE Mid-Cap,500305,JSW ISPAT, 0.30 ,"Metal,Metal Products & Mining"
BSE Mid-Cap,501061,S BK BIKANER, 0.25 ,Finance
BSE Mid-Cap,523204,ABAN OFFSHO, 0.50 ,Oil & Gas
BSE Mid-Cap,532682,ABG SHIPYARD, 0.40 ,Transport Services
BSE Mid-Cap,533144,COX KINGS, 0.45 ,Tourism
