"CIPLA.BO","INE059A01026",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"ADANIENT.BO","INE423A01024",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"CROMPGREAV.BO","INE067A01029",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"POWERGRID.BO","INE752E01010",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"DLF.BO","INE271C01023",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"FEDERALBNK.BO","INE171A01011",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"HEROMOTOCO.BO","INE158A01026",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"OFSS.BO","INE881D01027",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"RELIANCE.BO","INE002A01018",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"SUNPHARMA.BO","INE044A01036",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"IDEA.BO","INE669E01016",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"BANKINDIA.BO","INE084A01016",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"MARUTI.BO","INE585B01010",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"SRTRANSFIN.BO","INE721A01013",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"BOSCHLTD.BO","INE323A01026",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"JINDALSTEL.BO","INE749A01030",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"HCLTECH.BO","INE860A01027",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"CONCOR.BO","INE111A01017",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"LICHSGFIN.BO","INE115A01026",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"AXISBANK.BO","INE238A01026",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"RELCAPITAL.BO","INE013A01015",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"JSWSTEEL.BO","INE019A01020",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"TATACHEM.BO","INE092A01019",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"RCOM.BO","INE330H01018",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"ACC.BO","INE012A01025",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"RELINFRA.BO","INE036A01016",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"BHEL.BO","INE257A01026",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
