"CELG","US1510201049","Celgene Corporation","2014-01-21",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","Health","CONTINUOUS",0,1.00,"USD"
"CERN","CERN","Cerner Corporation","2013-02-07",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","Agro-food","CONTINUOUS",0,1.00,"USD"
"CHKP","IL0010824113","Check Point Software Technologi","2013-02-07",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","IT","CONTINUOUS",0,1.00,"USD"
"CHRW","US12541W2098","C.H. Robinson Worldwide, Inc.","2013-02-07",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","Transports","CONTINUOUS",0,1.00,"USD"
"CIPLA.BO","INE059A01026","Cipla Ltd.","2013-02-11",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","","CONTINUOUS",0,1.00,"INR"
"CMCSA","US20030N1019","Comcast Corporation","2013-02-07",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","Telecommunications","CONTINUOUS",0,1.00,"USD"
"COALINDIA.BO","INE522F01014","Coal India Ltd.","2013-02-11",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","","CONTINUOUS",0,1.00,"INR"
"COLPAL.BO","INE259A01022","Colgate Palmolive (India) Ltd.","1970-01-01",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","PERSONAL CARE","CONTINUOUS",0,1.00,"INR"
"CONCOR.BO","INE111A01017","Container Corporation of India Ltd.","2013-02-11",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","TRAVEL AND TRANSPORT","CONTINUOUS",0,1.00,"INR"
"COST","US22160K1051","Costco Wholesale Corporation","2014-02-11",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","Distribution","CONTINUOUS",0,1.00,"USD"
"CROMPGREAV.BO","INE067A01029","Crompton Greaves Ltd.","1970-01-01",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","ELECTRICAL EQUIPMENT","CONTINUOUS",0,1.00,"INR"
"CSCO","CSCO","Cisco Systems, Inc.","2014-02-11",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","Telecommunications","CONTINUOUS",0,1.00,"USD"
"CTSH","US1924461023","Cognizant Technology Solutions","2013-02-07",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","IT","CONTINUOUS",0,1.00,"USD"
"CTXS","US1773761002","Citrix Systems, Inc.","2013-02-07",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","IT","CONTINUOUS",0,1.00,"USD"
"CUMMINSIND.BO","INE298A01020","Cummins India Ltd.","1970-01-01",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","DIESEL ENGINES","CONTINUOUS",0,1.00,"INR"
"CVX","CVX","Chevron Corporation Common Stoc","2014-02-11",1,"YAHOO","NYSE","DEFAULT_CATEGORY","Oil and Natural Gas","CONTINUOUS",0,1.00,"USD"
"DABUR.BO","INE016A01026","Dabur India Ltd.","2012-11-22",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","PERSONAL CARE","CONTINUOUS",0,1.00,"INR"
"DD","US2635341090","E.I. du Pont de Nemours and Com","2013-02-26",1,"YAHOO","NYSE","DEFAULT_CATEGORY","Chemicals","CONTINUOUS",0,1.00,"USD"
"DELL","DELL","Dell Inc.","2013-02-07",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","IT","CONTINUOUS",0,1.00,"USD"
"DIS","DIS","Walt Disney Company (The) Commo","2013-02-07",1,"YAHOO","NYSE","DEFAULT_CATEGORY","Media","CONTINUOUS",0,1.00,"USD"
"DIVISLAB.BO","INE361B01024","Divi's Laboratories Ltd.","2013-02-11",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","PHARMACEUTICALS","CONTINUOUS",0,1.00,"INR"
"DLF.BO","INE271C01023","DLF Ltd.","2013-02-11",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","","CONTINUOUS",0,1.00,"INR"
"DLTR","DLTR","DLTR","2013-02-07",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","Services","CONTINUOUS",0,1.00,"USD"
